Breed_Name,FCI_Group,AKC_Group,Origin_Country,Size_Category,Average_Height_cm,Average_Weight_kg,Life_Expectancy_Years,Temperament,Primary_Purpose,Coat_Type,Color_Varieties,Training_Difficulty,Exercise_Needs,Grooming_Needs,Good_With_Families,Good_With_Children,Shedding_Level,Health_Concerns
Czechoslovakian Vlcak,5 - Spitz and Primitive Types,FSS (Rare),Czech Republic/Slovakia,Large,60-65,20-26,12-16,Alert; Bold; Courageous; Loyal; Independent,Companion; Guard Dog,Medium; Double; Dense,Yellow-Gray to Silver-Gray,High,Very High,High,Moderate,Moderate,Very High,Hip Dysplasia; Bloat; No Major Health Issues
Dachshund,4 - Dachshunds,Hound,Germany,Small,20-25,4.5-11,12-16,Alert; Brave; Clever; Courageous; Determined,Hunting; Family; Companion,Short; Medium; Long; Smooth; Wirehaired; Longhaired,Red; Cream; Black and Tan; Chocolate; Dapple; Brindle,Moderate,Moderate,Low-High (varies by coat),Yes,Yes,Moderate-High,Hip Dysplasia; Intervertebral Disc Disease; Epilepsy
Dalmatian,6 - Scenthounds and Related Breeds,Non-Sporting,Croatia,Large,56-61,24-32,11-13,Active; Alert; Devoted; Energetic; Intelligent,Fire Truck Dog; Companion; Family,Short; Smooth; Dense,White with Black or Brown Spots,Low,High,Low,Yes,Yes,Very High,Hip Dysplasia; Deafness; Bloat; Stone Formation
Dandie Dinmont Terrier,3 - Terriers,Terrier,Great Britain,Small,20-28,8-11,11-15,Alert; Affectionate; Courageous; Determined; Independent,Hunting; Companion,Medium; Hard; Wiry; Double,Pepper; Mustard; Gray; Silver; Brown,Moderate,Moderate,High,Yes,Yes,Moderate,Patellar Luxation; Intervertebral Disc Disease; Epilepsy
Danish-Swedish Farmdog,1 - Sheepdogs and Cattle Dogs,Herding (Other),Denmark/Sweden,Small,31-35,4.5-7,12-14,Alert; Affectionate; Agile; Intelligent; Lively,Herding; Family; Companion,Short; Smooth; Dense,White; Red; Brown; Combination Colors,Low,Moderate,Low,Yes,Yes,Moderate,Hip Dysplasia; Patellar Luxation; No Major Health Issues
Deerhound,10 - Sighthounds,Hound,Scotland,Large,71-76,36-45,10-13,Affectionate; Determined; Gentle; Loyal; Wary,Hunting; Sighthound; Companion,Medium; Rough; Double,Dark Blue-Gray; Gray; Brindle; Yellow; Tan; Fawn; Red,Moderate,High,High,Yes,Yes,Moderate,Hip Dysplasia; Heart Issues; Bloat; Osteosarcoma
Dogo Argentino,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Argentina,Large,60-68,36-45,9-15,Alert; Courageous; Devoted; Fearless; Loyal,Guardian; Hunting; Protection,Short; Smooth; Close; Thick,Pure White; Small Black Spot on Head Acceptable,Moderate,High,Low,Yes,Moderate,Low,Hip Dysplasia; Deafness; Bloat
Dogue de Bordeaux,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,France,Large,58-66,36-65,5-8,Affectionate; Confident; Courageous; Dignified; Loyal,Guardian; Companion; Companionship,Short; Smooth; Fine; Soft,Fawn; Mahogany; Isabella,Low,Moderate,Low,Yes,Moderate,Low,Hip Dysplasia; Bloat; Heart Issues; Elbow Dysplasia
Dutch Shepherd,1 - Sheepdogs and Cattle Dogs,Herding,Netherlands,Medium,55-62,24-30,11-14,Alert; Brave; Confident; Courageous; Intelligent,Herding; Police; Military; Guardian; Working,Short; Medium; Long; Double; Banded,Black; Brindle; Red; Gray Brindle,Moderate,Very High,Moderate-High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Bloat
English Cocker Spaniel,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Great Britain,38-41,12-14.5,12-15,Affectionate; Even-Tempered; Friendly; Gentle; Loyal,Hunting; Flushing; Companion; Family,Medium; Silky; Feathered,Various solid colors; Parti-colored; Tricolor,Moderate,Moderate,Very High,Yes,Yes,High,Hip Dysplasia; Ear Infections; Progressive Retinal Atrophy,
English Foxhound,6 - Scenthounds and Related Breeds,Hound,Great Britain,Large,58-64,29-34,10-13,Affable; Alert; Even-Tempered; Friendly; Loyal,Hunting; Scent Trailing; Companion,Short; Smooth; Coarse,White; Black and Tan; Tan and White,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; Bloat
English Setter,7 - Pointers,Sporting,Great Britain,63-69,25-36,10-12,Affectionate; Eager; Even-Tempered; Friendly; Gentle; Lively,Hunting; Pointing; Companion; Family,Medium; Feathered; Silky; Smooth,White; Orange-white; Lemon-white; Black-white; Tricolor,Moderate,High,High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Deafness,
English Springer Spaniel,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Great Britain,48-51,22.7-25,12-14,Affectionate; Eager; Even-Tempered; Friendly; Intelligent,Hunting; Flushing; Companion; Family,Medium; Wavy; Feathered,Liver and White; Black and White; Tricolor,Moderate,High,Very High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Ear Infections; Progressive Retinal Atrophy,
English Toy Spaniel,9 - Companion and Toy Dogs,Toy,Great Britain,Toy,25-30,3.6-6.3,10-13,Affectionate; Alert; Cheerful; Gentle; Graceful; Playful,Companion; Lapdog; Family,Medium; Silky; Feathered,Ruby; Black and Tan; Tricolor; Blenheim,Moderate,Moderate,High,Yes,Yes,Moderate,Heart Issues; Ear Infections; Eye Problems; Syringomyelia
English Water Spaniel,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Great Britain,48-56,25-34,12-15,Eager; Even-Tempered; Friendly; Gentle; Intelligent; Loyal,Hunting; Water Retrieval; Companion,Medium; Double; Curly; Oily,Liver; Brown; Occasionally White Spot on Chest,Moderate,High,High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Bloat,
Entlebucher Mountain Dog,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Switzerland,Compact,41-51,25-35,12-15,Alert; Confident; Courageous; Lively; Loyal,Herding; Guardian; Companion,Medium; Dense; Double; Short,Black with Red/Tan Markings; White Markings,Moderate,High,Moderate,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Eurasier,5 - Spitz and Primitive Types,Non-Sporting,Germany,Medium,48-56,18-26,12-16,Alert; Affectionate; Attentive; Friendly; Intelligent,Companion; Family,Medium; Double; Fluffy,Gray; Black and Tan; Red; Wolf Gray; Black,Moderate,Moderate,Very High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Exmoor,10 - Sighthounds,Hound,Great Britain,Small-Medium,48-56,20-27,12-14,Alert; Calm; Curious; Friendly; Intelligent,Hunting; Companion,Short; Dense; Double,Red; Fawn; Cream; Brindle; Black and Tan; Blue Gray,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Field Spaniel,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Great Britain,43-46,18-24,12-13,Affectionate; Eager; Even-Tempered; Friendly; Intelligent,Hunting; Flushing; Companion,Medium; Glossy; Silky; Feathered,Black; Liver; Roan; Combinations,Moderate,Moderate,High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Epilepsy; Bloat,
Fila Brasileiro,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Brazil,Large,60-75,36-90,9-11,Alert; Brave; Determined; Fearless; Loyal; Protective,Guardian; Hunting; Protection,Short; Smooth; Dense; Thick,Fawn; Black; Brindle; All Solid Colors,Moderate,High,Low,Moderate,Moderate,Moderate,Hip Dysplasia; Bloat; Elbow Dysplasia; Gastric Issues
Finnish Lapphund,5 - Spitz and Primitive Types,Non-Sporting,Finland,Medium,41-49,18-24,12-15,Alert; Even-Tempered; Friendly; Intelligent; Loyal,Herding; Companion; Family,Medium; Double; Thick; Fluffy,Various colors,Moderate,Moderate,Very High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Finnish Spitz,5 - Spitz and Primitive Types,Non-Sporting,Finland,Medium,38-50,7-13,12-15,Active; Alert; Friendly; Independent; Lively; Playful,Hunting; Companion,Medium; Double; Stiff; Erect,Red; Red-Gold; Golden,Moderate,High,High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Flat-Coated Retriever,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Great Britain,58-61,27-36,8-10,Active; Affectionate; Even-Tempered; Friendly; Intelligent; Lively,Hunting; Retrieval; Companion; Family,Medium; Feathered; Glossy; Oily,Black; Liver; Yellow,Moderate,High,Moderate,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Cancer,
Fluffy Frenchie,9 - Companion and Toy Dogs,Non-Sporting (French Bulldog variant),France/USA,Small,30-33,5-13,10-14,Affectionate; Alert; Courageous; Friendly; Playful,Companion; Family; Lapdog,Medium; Fluffy; Double,Various colors,Moderate,Low-Moderate,Low,Yes,Yes,High,Brachycephalic Syndrome; Patellar Luxation; Ear Infections
Fog Hound (American Staghound),10 - Sighthounds,Hound (Rare),United States,Large,60-75,25-50,12-15,Alert; Courageous; Energetic; Independent; Loyal,Hunting; Companion,Short; Dense,Various,Moderate,Very High,Low,Moderate,Moderate,Moderate,Hip Dysplasia; Bloat; No Major Health Issues
Fox Terrier (Smooth),3 - Terriers,Terrier,Great Britain,Small,39-41,7.3-8.6,12-15,Alert; Courageous; Determined; Friendly; Intelligent; Keenly; Lively,Hunting; Companion,Short; Smooth; Thick; Hard,White; White with Markings; Black; Brown,Low,Moderate,Low,Yes,Yes,Moderate,Patellar Luxation; Lens Luxation; Deafness
Fox Terrier (Wire),3 - Terriers,Terrier,Great Britain,Small,39-41,7.3-8.6,12-15,Alert; Courageous; Determined; Friendly; Intelligent; Keen; Lively,Hunting; Companion,Short; Hard; Wiry; Double,White; White with Markings; Black; Brown,Low,Moderate,High,Yes,Yes,Moderate,Patellar Luxation; Lens Luxation; Deafness
French Bulldog,9 - Companion and Toy Dogs,Non-Sporting,France,Small,25-30,8-14,10-12,Affectionate; Alert; Courageous; Friendly; Keen; Playful; Sociable; Sturdy,Companion; Family; Lapdog,Short; Smooth; Close,Fawn; Cream; White; Brindle; Pied; Black and Tan,Low,Low,Low,Yes,Yes,Moderate,Brachycephalic Syndrome; Patellar Luxation; Ear Infections; Hip Dysplasia
Galgo Español,10 - Sighthounds,Hound,Spain,Large,60-70,20-30,12-15,Alert; Courageous; Even-Tempered; Gentle; Lively; Loyal; Quiet,Hunting; Sighthound; Companion,Short; Smooth; Fine,Fawn; Yellow; Black; Brindle; Gray; Red; White; Combinations,Moderate,Very High,Low,Yes,Yes,Low,Hip Dysplasia; Bloat; No Major Health Issues
German Long-Haired Pointer,7 - Pointers,Sporting,Germany,Large,60-70,25-32,10-12,Affectionate; Alert; Eager; Even-Tempered; Intelligent; Lively,Hunting; Pointing; Companion; Family,Medium; Feathered; Wavy; Double,Liver; Roan; Brown-white; Combinations,Moderate,Very High,High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Bloat
German Pinscher,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Germany,Medium,43-51,11-20,12-14,Alert; Courageous; Determined; Even-Tempered; Loyal; Lively,Guardian; Companion; Watchdog,Short; Smooth; Glossy; Close; Hard,Red; Black; Black and Tan; Blue; Chocolate,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
German Shepherd,1 - Sheepdogs and Cattle Dogs,Herding,Germany,Large,55-65,22-40,9-13,Alert; Assured; Confident; Courageous; Curious; Faithful; Intelligent; Loyal; Versatile,Herding; Guardian; Police; Military; Service; Working,Medium; Double; Thick,Black; Red; Sable; Blue; Liver; Tan,Moderate,Very High,High,Yes,Yes,Very High,Hip Dysplasia; Bloat; Exocrine Pancreatic Insufficiency
German Shorthaired Pointer,7 - Pointers,Sporting,Germany,Large,58-70,25-32,10-12,Alert; Eager; Even-Tempered; Friendly; Intelligent; Lively; Willing,Hunting; Pointing; Companion; Family,Medium; Double; Short; Close,Liver; Liver and White; Black and White; Black; Roan,Moderate,Very High,Moderate,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Bloat; Progressive Retinal Atrophy
German Wirehaired Pointer,7 - Pointers,Sporting,Germany,Large,60-67,24-32,10-12,Alert; Eager; Even-Tempered; Friendly; Intelligent; Lively; Willing,Hunting; Pointing; Companion; Family,Medium; Double; Harsh; Wiry; Dense,Liver; Black and White; Liver and White; Black; Roan,Moderate,Very High,High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Bloat; Heart Issues
Giant Schnauzer,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Germany,Large,60-70,25-48,12-14,Alert; Courageous; Devoted; Even-Tempered; Intelligent; Loyal,Guardian; Working; Herding; Police,Medium; Double; Coarse; Wiry; Hard; Bushy Eyebrows; Beard and Mustache,Black; Pepper and Salt; White,Moderate,High,High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Bloat; Progressive Retinal Atrophy
Glen of Imaal Terrier,3 - Terriers,Terrier,Ireland,Small,33-36,16,12-15,Alert; Courageous; Determined; Friendly; Intelligent; Loyal,Hunting; Companion,Medium; Double; Rough; Harsh,Wheaten; Blue Brindle; Brindle,Moderate,Moderate,High,Yes,Yes,Low,Hip Dysplasia; Progressive Retinal Atrophy; Epilepsy
Golden Retriever,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Canada,Large,51-61,25-34,10-12,Affectionate; Eager; Even-Tempered; Friendly; Gentle; Intelligent; Loyal; Trustworthy,Hunting; Retrieval; Service; Companion; Family,Medium; Double; Feathered; Wavy,Cream; Light Golden; Golden; Dark Golden,Moderate,High,High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; Cancer; Bloat; Hemangiosarcoma
Gordon Setter,7 - Pointers,Sporting,Scotland,Large,61-66,25-36,12,Affectionate; Alert; Even-Tempered; Friendly; Intelligent; Lively; Loyal; Obedient,Hunting; Pointing; Companion; Family,Medium; Feathered; Silky; Glossy,Black; Black and Tan,Moderate,High,Very High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Bloat
Grand Basset Griffon Vendeen,6 - Scenthounds and Related Breeds,Hound,France,Small,40-45,18-20,12-14,Active; Alert; Even-Tempered; Friendly; Intelligent; Loyal,Hunting; Scent Trailing; Companion,Medium; Double; Rough; Wiry; Bushy,White with Red; Fawn; Black; Combinations,Moderate,High,High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Ear Infections
Grand Bleu de Gascogne,6 - Scenthounds and Related Breeds,Hound,France,Large,62-72,32-35,10-12,Active; Alert; Affectionate; Courageous; Determined; Even-Tempered,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,White; Black and White; Tan; Tricolor; Mottled,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Bloat; Ear Infections
Great Dane,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Germany,Giant,71-86,45-90,7-10,Affectionate; Alert; Courageous; Dignified; Friendly; Gentle; Loving,Guardian; Companion; Family,Short; Smooth; Glossy,Fawn; Brindle; Black; Harlequin; Mantle; Blue,Low,Moderate,Low,Yes,Yes,Moderate,Hip Dysplasia; Bloat; Heart Issues; Bone Cancer
Great Pyrenees,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,France/Spain,Giant,65-81,41-59,10-12,Affectionate; Confident; Courageous; Gentle; Intelligent; Loyal; Patient,Guardian; Livestock Protection; Companion,Medium; Double; Thick; Feathered; Plumed,White; Cream; Gray; Combinations,Moderate,Moderate,Very High,Yes,Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia; Bone Cancer
Greater Swiss Mountain Dog,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Switzerland,Large,58-72,34-50,10-11,Alert; Courageous; Faithful; Friendly; Intelligent; Loyal; Obedient,Draft; Guardian; Companion,Medium; Dense; Double; Short,Black; Red; Tan; White Markings; Symmetric Markings,Moderate,High,Moderate,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; Bloat; Dilated Cardiomyopathy
Greyhound,10 - Sighthounds,Hound,Great Britain,Large,66-76,27-40,10-13,Active; Alert; Even-Tempered; Friendly; Gentle; Independent; Intelligent; Lively,Racing; Sighthound; Companion,Short; Smooth; Close,Various colors,Moderate,High,Low,Yes,Yes,Low,Hip Dysplasia; Bloat; Heart Issues; Osteosarcoma
Griffon Bruxellois,9 - Companion and Toy Dogs,Toy,Belgium,Toy,20-28,3.6-6,12-15,Alert; Confident; Curious; Even-Tempered; Loyal; Self-assured,Companion; Family; Lapdog,Medium; Rough; Double; Wiry,Red; Belge; Black; Black and Tan,High,Moderate,High,Yes,Yes,Moderate,Patellar Luxation; Heart Issues; Eye Problems
Griffon Nivernais,6 - Scenthounds and Related Breeds,Hound,France,Large,55-65,19-27,12-14,Alert; Friendly; Happy; Independent; Loyal,Hunting; Scent Trailing; Companion,Medium; Double; Rough; Hard,Gray with White or Black Markings; Gray Brindle; Gray; Blue Gray,Moderate,High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; No Major Health Issues
Gross Munsterlander,7 - Pointers,Sporting,Germany,Large,58-66,25-32,12-14,Affectionate; Alert; Eager; Even-Tempered; Friendly; Intelligent,Hunting; Pointing; Companion; Family,Medium; Double; Feathered; Dense,Liver; White with Liver; Roan,Moderate,Very High,Moderate,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Guarani,1 - Sheepdogs and Cattle Dogs,Herding,Paraguay,Medium,45-60,18-30,12-15,Alert; Courageous; Friendly; Intelligent; Loyal,Herding; Guardian; Working; Companion,Medium; Double; Rough,Black; Black and Tan; Tan; Brown; White; Pied,Moderate,High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Bloat; No Major Health Issues
Hamiltonstovare,6 - Scenthounds and Related Breeds,Hound,Sweden,Large,49-61,24-27,12-15,Alert; Even-Tempered; Friendly; Intelligent; Loyal; Obedient,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,Red; Black and Tan; White; Combinations,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; Bloat
Hanoverian Scenthound,6 - Scenthounds and Related Breeds,Hound,Germany,Large,48-55,23-27,12-15,Determined; Even-Tempered; Friendly; Loyal,Hunting; Scent Trailing; Companion,Short; Smooth; Dense; Close,Red; Red-Brown; Tan; Black and Tan; Mottled,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Harrier,6 - Scenthounds and Related Breeds,Hound,Great Britain,Medium,48-55,18-23,12-15,Active; Alert; Determined; Even-Tempered; Friendly; Lively; Loyal,Hunting; Scent Trailing; Companion,Short; Smooth; Dense; Hard,Various colors,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Bloat
Havanese,9 - Companion and Toy Dogs,Toy,Cuba,Small,20-28,3.6-6,14-15,Affectionate; Alert; Cheerful; Friendly; Intelligent; Lively; Playful,Companion; Family; Lapdog,Medium; Double; Soft; Fluffy; Feathered,Various colors,Moderate,Moderate,Very High,Yes,Yes,Moderate,Patellar Luxation; Heart Issues; Dry Eye
Hokkaido,5 - Spitz and Primitive Types,Non-Sporting,Japan,Medium,43-51,16-22,12-15,Alert; Bold; Courageous; Friendly; Intelligent; Loyal,Hunting; Guardian; Companion,Medium; Double; Thick; Erect,Red; Sesame; Brindle; White,Moderate,High,High,Yes,Yes,Very High,Hip Dysplasia; No Major Health Issues
Hovawart,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Germany,Large,58-70,25-45,10-14,Alert; Confident; Courageous; Friendly; Intelligent; Loyal,Guardian; Working; Companion,Medium; Double; Straight; Dense,Black; Black and Gold; Gold,Moderate,High,High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; Bloat; Osteochondrosis
Hungarian Puli,1 - Sheepdogs and Cattle Dogs,Herding,Hungary,Medium,39-46,10-15,10-15,Alert; Confident; Determined; Energetic; Intelligent; Loyal; Obedient,Herding; Guardian; Working; Companion,Long; Corded; Dense; Double,Black; White; Gray; Brown; Red,High,High,Very High,Yes,Yes,Low,Hip Dysplasia; No Major Health Issues
Hungarian Pumi,1 - Sheepdogs and Cattle Dogs,Herding,Hungary,Medium,35-47,8-15,12-13,Alert; Courageous; Determined; Eager; Energetic; Intelligent; Loyal,Herding; Guardian; Companion,Medium; Double; Curly; Wiry; Dense,Red; Black; Gray; White; Cream; Fawn,Moderate,Very High,High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Hungarian Vizsla,7 - Pointers,Sporting,Hungary,Large,56-66,18-29,10-13,Affectionate; Alert; Eager; Even-Tempered; Friendly; Gentle; Intelligent; Lively; Sensitive,Hunting; Pointing; Companion; Family,Short; Smooth; Fine; Glossy; Dense,Golden; Red; Red-Gold; Russet,Moderate,Very High,Low,Yes,Yes,Low,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Bloat
Hungarian Wire-Haired Vizsla,7 - Pointers,Sporting,Hungary,Large,56-68,18-29,12-15,Affectionate; Alert; Eager; Even-Tempered; Friendly; Gentle; Intelligent,Hunting; Pointing; Companion; Family,Medium; Wiry; Double; Dense; Bristly Mustache and Eyebrows,Russet; Gold; Red-Gold,Moderate,Very High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Bloat
Ibizan Hound,10 - Sighthounds,Hound,Balearic Islands,Large,56-72,20-29,11-14,Active; Alert; Courageous; Even-Tempered; Friendly; Lively; Sensitive,Hunting; Sighthound; Companion,Short or Long; Fine; Smooth; Glossy,White; Red; Fawn; White and Red; White and Fawn,Moderate,High,Low (Short) or High (Long),Yes,Yes,Low (Short) or High (Long),Hip Dysplasia; Bloat; Epilepsy; No Major Health Issues
Icelandic Sheepdog,5 - Spitz and Primitive Types,Herding,Iceland,Small-Medium,41-48,9-18,12-15,Alert; Friendly; Intelligent; Playful; Quick; Responsive,Herding; Companion; Family,Medium; Double; Erect,Cream; Red; Brown; Black; Gray; Fawn; White Markings,Moderate,High,Very High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Illyrian Shepherd Dog,1 - Sheepdogs and Cattle Dogs,Herding,Albania,Large,60-80,30-50,10-12,Alert; Brave; Confident; Courageous; Loyal; Protective,Guardian; Herding; Livestock Protection; Working,Medium; Dense; Double,All Colors,High,Moderate,Moderate,Moderate,Moderate,Moderate,Hip Dysplasia; Bloat; No Major Health Issues
Irish Draught Horse Hound,10 - Sighthounds,Hound,Ireland,Large,71-86,25-50,10-12,Alert; Courageous; Even-Tempered; Friendly; Gentle; Intelligent; Loyal,Hunting; Sighthound; Companion,Short; Smooth,Various colors,Moderate,High,Low,Yes,Yes,Low,Hip Dysplasia; Bloat; No Major Health Issues
Irish Setter,7 - Pointers,Sporting,Ireland,Large,63-66,27-32,12-15,Affectionate; Alert; Eager; Even-Tempered; Friendly; Gentle; Intelligent; Lively; Loyal,Hunting; Pointing; Companion; Family,Medium; Feathered; Silky; Glossy; Smooth,Red; Red-Orange; Mahogany; Mahogany-Brown,Moderate,Very High,Very High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Bloat
Irish Terrier,3 - Terriers,Terrier,Ireland,Medium,45-48,11-17,12-15,Alert; Courageous; Determined; Energetic; Friendly; Loyal; Playful,Hunting; Guardian; Companion,Medium; Double; Harsh; Wiry,Red; Red-Wheaten; Golden-Red,Moderate,High,High,Yes,Yes,Moderate,Hip Dysplasia; Progressive Retinal Atrophy; Hypothyroidism
Irish Water Spaniel,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Ireland,Large,55-58,20-30,12-13,Affectionate; Alert; Eager; Even-Tempered; Friendly; Intelligent; Lively,Hunting; Water Retrieval; Companion; Family,Medium; Curly; Oily; Dense; Double,Liver; Brown; Puce; Chocolate,Moderate,High,Very High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Bloat
Irish Wolfhound,10 - Sighthounds,Hound,Ireland,Giant,71-90,40-70,6-10,Affectionate; Courageous; Dignified; Friendly; Generous; Gentle; Intelligent; Loyal; Patient,Hunting; Sighthound; Companion; Family,Medium; Rough; Double; Hard; Wiry,Gray; Red; Black; White; Fawn; Brindle; Combinations,Low,Moderate,High,Yes,Yes,Moderate,Hip Dysplasia; Bloat; Heart Issues; Bone Cancer
Italian Greyhound,9 - Companion and Toy Dogs,Toy,Italy,Tiny,13-18,3.6-5,12-15,Affectionate; Alert; Cheerful; Friendly; Lively; Playful; Sensitive,Companion; Lapdog; Family,Short; Fine; Smooth; Glossy,Black; Gray; Cream; Red; White; Combinations,High,Moderate,Low,Yes,Yes,Low,Patellar Luxation; Heart Issues; Hypoglycemia; Progressive Retinal Atrophy
Italian Spinone,7 - Pointers,Sporting,Italy,Large,59-70,32-39,12-13,Affectionate; Alert; Courageous; Devoted; Even-Tempered; Friendly; Intelligent; Loyal,Hunting; Pointing; Companion; Family,Medium; Double; Thick; Wiry; Bristly; Bushy Eyebrows and Beard,Solid Colors; White; Orange; Brown; Liver; Combinations,Moderate,High,High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Bloat; Gastric Issues
Japanese Chin,9 - Companion and Toy Dogs,Toy,China/Japan,Tiny,20-28,3.6-6,10-12,Alert; Affectionate; Charming; Friendly; Intelligent; Lively; Playful,Companion; Lapdog; Family,Medium; Long; Fine; Silky; Feathered,Black and White; Red and White; White; Tricolor,High,Moderate,Very High,Yes,Yes,Moderate,Heart Issues; Patellar Luxation; Syringomyelia; Breathing Problems
Japanese Spitz,5 - Spitz and Primitive Types,Non-Sporting,Japan,Small,30-38,5-10,10-16,Alert; Affectionate; Friendly; Intelligent; Lively; Playful,Companion; Family; Watchdog,Medium; Double; Thick; Fluffy,White; Cream,Moderate,Moderate,Very High,Yes,Yes,Very High,Hip Dysplasia; Patellar Luxation; No Major Health Issues
Jindo,5 - Spitz and Primitive Types,FSS (Rare),South Korea,Medium-Large,45-54,30-50,12-15,Alert; Brave; Courageous; Determined; Independent; Intelligent; Loyal,Hunting; Guardian; Companion,Medium; Double; Thick,White; Red; Brindle; Black and Tan,Moderate,High,High,Moderate,Moderate,Very High,Hip Dysplasia; No Major Health Issues
Jonangi,6 - Scenthounds and Related Breeds,Hound (Rare),India,Medium,40-53,15-25,12-15,Alert; Brave; Courageous; Intelligent; Loyal,Hunting; Companion,Short; Smooth; Dense,White; Red; Black; Combinations,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; No Major Health Issues
Kai Ken,5 - Spitz and Primitive Types,Non-Sporting,Japan,Medium,43-52,13-20,12-15,Alert; Aloof; Bold; Courageous; Independent; Intelligent; Loyal,Hunting; Guardian; Companion,Medium; Double; Thick; Coarse,Tiger Brindle; Red Brindle; Black Brindle,Moderate,High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; No Major Health Issues
