Brand_Name,Generic_Name,Type,Pet_Type,Disease_Treatment,Dosage,Dosage_Unit,Administration_Route,Duration_Frequency,Description,Manufacturer,Common_Side_Effects
Fenbendazole,Fenbendazole,Anthelmintic - Broad Spectrum,Dogs and Cats,Roundworms; hookworms; whipworms; Giardia; lung parasites,25,mg/kg,Oral tablet/suspension,Three consecutive days; repeat in 3 weeks if needed,Broad-spectrum anthelmintic. Safe; even in young/pregnant animals. Requires 3-day course for efficacy against most parasites. Particularly effective for Giardia when given for 3 days; repeat in 3 weeks. Available as suspension,Multiple brands,Gastrointestinal upset; diarrhea; minimal side effects
Emodepside + Praziquantel,Emodepside + Praziquantel,Anthelmintic - Combination,Cats,Roundworms; hookworms; tapeworms; lungworms,Topical,Topical spot-on,Single application; repeat in 2 weeks if needed,Combination anthelmintic for cats. Topical spot-on application eliminates pilling challenges. Broad-spectrum coverage (intestinal/lung parasites). No-mess administration; effective single dose,Novartis,Minimal; skin irritation at application site possible,
Ivermectin + Praziquantel + Pyrantel,Triple Anthelmintic,Anthelmintic - Combination,Dogs,Roundworms; hookworms; whipworms; tapeworms; microfilariae,Variable,per tablet/chew,Oral chewable/tablet,Varies; typically monthly,Combination anthelmintic with microfilarial activity. Multiple parasites covered in single dose/product. Often used as heartworm prevention + deworming combination,Multiple brands,Gastrointestinal upset; neurological toxicity in sensitive breeds (ivermectin component)
Zeniquin,Marbofloxacin,Antibiotic - Fluoroquinolone,Dogs and Cats,Bacterial skin and respiratory infections,2-4,mg/kg/day,Oral tablet,Once or twice daily,Advanced fluoroquinolone with improved tissue penetration; particularly effective for respiratory infections,Vetoquadel,Gastrointestinal upset; photosensitivity; seizures (rare)
Naxcel,Ceftiofur,Antibiotic - Third-Generation Cephalosporin,Dogs and Cats,Serious bacterial infections; septicemia,20-40,mg/kg,Intramuscular or IV injection,Every 24 hours,Third-generation cephalosporin for serious systemic infections; injectables only; hospital-grade antibiotic,Zoetis,Injection site reactions; potential cross-reactivity with penicillin
Tybacin,Tylosin,Antibiotic - Macrolide,Dogs and Cats,Bacterial infections; colitis; respiratory infections,10-15,mg/kg,Oral tablet,Every 8-12 hours,Macrolide antibiotic; particularly effective for anaerobic and atypical bacteria; used for colitis management,Elanco,Gastrointestinal upset; diarrhea; allergic reactions
Sulfamethoxazole-Trimethoprim,Sulfamethoxazole-Trimethoprim,Antibiotic - Sulfonamide,Dogs and Cats,Urinary tract infections; prostatitis; protozoal infections,15-30,mg/kg,Oral tablet,Every 8-12 hours,Broad-spectrum sulfonamide combination; particularly useful for UTIs and some protozoal infections,Multiple brands,Gastrointestinal upset; allergic reactions; crystalluria (rare)
Galliprant XL,Grapiprant Extended-Release,NSAID - Extended Release,Dogs,Chronic osteoarthritis pain; long-term pain management,2,mg/kg,Oral chewable tablet,Once daily,Extended-release formulation of grapiprant; targets EP4 receptor for chronic pain relief; GI-friendly mechanism,Astellas Pharma,Diarrhea; vomiting; decreased appetite
Trazodone,Trazodone,Anxiolytic - Serotonin Antagonist/Reuptake Inhibitor,Dogs and Cats,Anxiety; fear; storm phobia; post-operative agitation,5-10,mg/kg,Oral tablet/capsule,Every 8-12 hours or as needed,Antidepressant/anxiolytic with rapid onset; used for acute anxiety and behavioral issues; minimal sedation compared to other options,Multiple brands,Drowsiness; sedation; priapism (rare); tremors
Alprazolam,Alprazolam,Anxiolytic - Benzodiazepine,Dogs and Cats,Severe anxiety; panic disorder; seizure threshold reduction,0.01-0.1,mg/kg,Oral tablet/liquid,Every 8-12 hours or as needed,Benzodiazepine anxiolytic for severe anxiety; rapid onset; requires careful monitoring for dependence,Multiple brands,Sedation; ataxia; dependence with long-term use; paradoxical hyperactivity (rare)
Apoquel XL,Oclacitinib Extended-Release,JAK Inhibitor - Extended Release,Dogs,Chronic atopic dermatitis; long-term allergy management,0.4-0.6,mg/kg,Oral tablet,Once daily,Extended-release JAK inhibitor for chronic allergy itch; improved convenience over twice-daily dosing,Zoetis,Vomiting; diarrhea; secondary infections
Cytopoint,Lokivetmab,Biologic - Monoclonal Antibody,Dogs,Atopic dermatitis-associated itch,1,mg/kg,Subcutaneous injection,Every 2-4 weeks,Innovative monoclonal antibody targeting IL-31; controls itch source; injectable; convenient 2-4 week dosing,Zoetis,Injection site reactions; minimal systemic effects
Flagyl,Metronidazole,Antibiotic - Nitroimidazole,Dogs and Cats,Inflammatory bowel disease; anaerobic bacterial infections,10-25,mg/kg,Oral tablet/liquid,Every 8-12 hours,First-line treatment for IBD in dogs and cats; also effective against anaerobic bacteria and protozoa,Multiple brands,Gastrointestinal upset; metallic taste; neurological effects at high doses
Reglan,Metoclopramide,Antiemetic - Dopamine Antagonist,Dogs and Cats,Nausea; gastroparesis; vomiting; GERD,0.5-1,mg/kg,Oral tablet/injection,Every 8-12 hours,Prokinetic agent improving gastric motility; used for gastroparesis and nausea-related disorders,Multiple brands,Gastrointestinal upset; restlessness; diarrhea
Nexium,Esomeprazole,Proton Pump Inhibitor,Dogs and Cats,GERD; gastric ulcers; acid-related gastropathy,0.5-1,mg/kg,Oral capsule/tablet,Once or twice daily,Active S-enantiomer of omeprazole; enhanced potency; used for severe acid-related conditions,Multiple brands,Gastrointestinal upset; vitamin B12 deficiency (long-term); headache
Pantoprazole,Pantoprazole,Proton Pump Inhibitor,Dogs and Cats,Gastroesophageal reflux; gastric ulcers,0.5-1,mg/kg,Oral tablet/capsule,Once daily,Long-acting PPI for severe GERD and ulceration; excellent CNS penetration for unusual presentations,Multiple brands,Gastrointestinal upset; vitamin B12 deficiency (long-term)
Vetmedin,Pimobendan,Inodilator - Positive Inotrope,Dogs,Dilated cardiomyopathy; congestive heart failure; mitral insufficiency,0.25-0.3,mg/kg,Oral tablet/capsule,Every 12 hours,Positive inotrope and vasodilator; improves cardiac contractility and reduces preload; given twice daily with food,Boehringer Ingelheim,Gastrointestinal upset; tachycardia; arrhythmias
Enacard,Enalapril,ACE Inhibitor - Antihypertensive,Dogs and Cats,Congestive heart failure; hypertension; protein-losing nephropathy,0.25-0.5,mg/kg,Oral tablet,Every 12-24 hours,ACE inhibitor reducing cardiac workload; slows disease progression in CHF; commonly used long-term,Boehringer Ingelheim,Gastrointestinal upset; hyperkalemia; acute kidney injury (in certain conditions)
Vetoryl,Trilostane,Adrenolytic - Adrenocortical Agent,Dogs,Cushings syndrome; ACTH hypersecretion,30-50,mg/kg/day (divided dosing),Oral capsule,Every 12 hours with food,Adrenolytic agent inhibiting cortisol synthesis; used to treat hyperadrenocorticism; requires ACTH stimulation monitoring,Dechra,Gastrointestinal upset; electrolyte imbalances; acute adrenal insufficiency
Mitotane,Mitotane,Adrenolytic Agent,Dogs,Adrenocortical carcinoma; severe hyperadrenocorticism,40-50,mg/kg/day (divided),Oral tablet,Every 8-12 hours with food,Adrenolytic chemotherapy agent for adrenocortical tumors; less commonly used than trilostane; requires intensive monitoring,Novartis,Gastrointestinal upset; neurological effects; electrolyte imbalances; hepatotoxicity
Anaflex,Marbofloxacin,Antibiotic - Fluoroquinolone,Dogs and Cats,Bacterial skin infections; respiratory infections; UTIs,2-4,mg/kg/day,Oral tablet,Once daily,Fluoroquinolone with enhanced tissue penetration; particularly effective for resistant skin infections,Vetoquadel,Gastrointestinal upset; photosensitivity; seizures (rare)
Baytril Injectable,Enrofloxacin,Antibiotic - Fluoroquinolone,Dogs and Cats,Serious bacterial infections; systemic infections; septicemia,5-20,mg/kg,"IV, IM, or SC injection",Once daily (IV) or every 24 hours (IM/SC),Injectable fluoroquinolone for hospital-grade infections; rapid systemic delivery; used for serious systemic infections,Elanco,Injection site reactions; retinal toxicity in cats at high doses; seizures (rare)
Panacur C,Fenbendazole,Anthelmintic - Combination,Dogs,Roundworms; hookworms; whipworms; tapeworms; Giardia,50,mg/kg/day for 3 days,Oral granules,3 consecutive days,Broad-spectrum dewormer; granule formulation for easy administration; effective against resistant parasites,Merck,Gastrointestinal upset; diarrhea; vomiting
Advantage Flea,Imidacloprid,Ectoparasiticide - Neonicotinoid,Dogs and Cats,Flea prevention and treatment,Topical,As directed per weight,Topical spot-on,Monthly,Fast-acting topical flea killer; kills adult fleas within 2 hours; waterproof after 24 hours,Bayer,Local skin irritation; allergic reactions; hair loss at application site
Program,Lufenuron,Flea Suppression - Insect Growth Regulator,Dogs and Cats,Flea control; flea allergy dermatitis prevention,10,mg/kg,Oral tablet (with food) or injection,Monthly (oral) or every 6 months (injection),Insect growth regulator preventing flea egg/larvae development; effective flea population control,Ceva,Minimal; rare gastrointestinal upset
Capstar,Nitenpyram,Ectoparasiticide - Neonicotinoid,Dogs and Cats,Acute flea infestation; rapid flea kill,1,mg/kg,Oral tablet,Single dose (repeat in 30 days if needed),Rapid-acting oral flea treatment; kills adult fleas within 30 minutes; good for acute infestation,Elanco,Gastrointestinal upset; excitability; tremors (rare)
Zeniquin Injectable,Marbofloxacin,Antibiotic - Fluoroquinolone,Dogs and Cats,Serious skin and respiratory infections,2-4,mg/kg/day,"IV, IM, or SC injection",Every 24 hours,Injectable marbofloxacin for serious infections; improved tissue penetration versus oral,Vetoquadel,Injection site reactions; photosensitivity; seizures (rare)
Clomicalm,Clomipramine,Tricyclic Antidepressant,Dogs and Cats,Anxiety-related behaviors; obsessive-compulsive disorder; separation anxiety,1-3,mg/kg,Oral tablet/capsule,Every 12 hours,SSRI antidepressant for behavioral disorders; slower acting than other anxiolytics; requires 2-4 weeks for full effect,Novartis,Sedation; gastrointestinal upset; urinary retention; cardiac arrhythmias
Cerenia Injectable,Maropitant,Antiemetic - NK1 Antagonist,Dogs and Cats,Severe vomiting; nausea; post-operative nausea,1,mg/kg,"IV, IM, or SC injection",Once daily,Injectable antiemetic for severe vomiting; faster onset than oral; preferred in hospitalized animals,Zoetis,Injection site reactions; decreased appetite; gastrointestinal upset
